userId;idOriginal
724;36459156
725;36516931
726;36630486
727;36649600
728;36651775
729;36654824
730;36685136
731;36714942
732;36761127
733;36804674
734;36878388
735;36955148
736;37015421
737;37024167
738;37061916
739;37078909
740;37080408
741;37089472
742;37096826
743;37127057
744;37145642
745;37179903
746;37203414
747;37260803
748;37261656
749;37263033
750;37301148
751;37301266
752;37302533
753;37368329
754;37414040
755;37416349
756;37421382
757;37435857
758;37462094
759;37484994
760;37488834
761;37499660
762;37665648
763;37675552
764;37699904
765;37749507
766;37750001
767;37762840
768;37776045
769;37783033
770;37799416
771;37801217
772;37809099
773;37816961
774;37821931
775;37930894
776;37937416
777;37975874
778;37992628
779;38030464
780;38056184
781;38062121
782;38075328
783;38093148
784;38169433
785;38196984
786;38213992
787;38217286
788;38250514
789;38258434
790;38262852
791;38266191
792;38311841
793;38415784
794;38432405
795;38435294
796;38437105
797;38449421
798;38490186
799;38498888
800;38500369
801;38507225
802;38508997
803;38551493
804;38606434
805;38627040
806;38671764
807;38681914
808;38686937
809;38690166
810;38724297
811;38767048
812;38841123
813;38844926
814;38868148
815;38873050
816;38897173
817;38897583
818;38930101
819;38942545
820;38955898
821;39076814
822;39101581
823;39126865
824;39127375
825;39161771
826;39215326
827;39285114
828;39293630
829;39319245
830;39332201
831;39336282
832;39342435
833;39357655
834;39360378
835;39366339
836;39394082
837;39422586
838;39424487
839;39432490
840;39484269
841;39484806
842;39499498
843;39514159
844;39516085
845;39522911
846;39566949
847;39639658
848;39645144
849;39655271
850;39741524
851;39752473
852;39757189
853;39770107
854;39772024
855;39781940
856;39783733
857;39788124
858;39824929
859;39826188
860;39855872
861;39860568
862;39898603
863;39917831
864;40009647
865;40015017
866;40034233
867;40042091
868;40137426
869;40167431
870;40230031
871;40261159
872;40262385
873;40282895
874;40305208
875;40329047
876;40362028
877;40364468
878;40383809
879;40416838
880;40445695
881;40463380
882;40470054
883;40471770
884;40486113
885;40528802
886;40553987
887;40586141
888;40751733
889;40777044
890;40855631
891;40872202
892;40873409
893;40879264
894;40891330
895;40925384
896;41026401
897;41041686
898;41121900
899;41123392
900;41127808
901;41140219
902;41172093
903;41177186
904;41218891
905;41246711
906;41311003
907;41322285
908;41340830
909;41400540
910;41410242
911;41441809
912;41444722
913;41459306
914;41470934
915;41476313
916;41493402
917;41558034
918;41583808
919;41586945
920;41589948
921;41591516
922;41648463
923;41650435
924;41722931
925;41806159
926;41831839
927;41859394
928;41859448
929;41863614
930;41900637
931;41906112
932;41942069
933;41945775
934;41958374
935;41971008
936;42035302
937;42042907
938;42052575
939;42063626
940;42068914
941;42118812
942;42147450
943;42156661
944;42163546
945;42228789
946;42251849
947;42271371
948;42283147
949;42286469
950;42299681
951;42304398
952;42345567
953;42361572
954;42389592
955;42397196
956;42404978
957;42439033
958;42466740
959;42492185
960;42601804
961;42672571
962;42683392
963;42684422
964;42685571
965;42691133
966;42691847
967;42697061
968;42700218
969;42739455
970;42762051
971;42786726
972;42802926
973;42888367
974;42918587
975;42940356
976;42944196
977;42946469
978;42993515
979;42994751
980;43006774
981;43031915
982;43041690
983;43099339
984;43115790
985;43137625
986;43147855
987;43148588
988;43149880
989;43213819
990;43250281
991;43259975
992;43265346
993;43265428
994;43340387
995;43357625
996;43387075
997;43412312
998;43438951
999;43476953
1000;43486969
1001;43529053
1002;43554342
1003;43559018
1004;43569392
1005;43577947
1006;43584207
1007;43677631
1008;43683633
1009;43687327
1010;43720394
1011;43738415
1012;43748744
1013;43753187
1014;43779232
1015;43810996
1016;43866130
1017;43872281
1018;43902403
1019;43912528
1020;43922567
1021;43927158
1022;43927993
1023;43942326
1024;43961717
1025;43994506
1026;44001895
1027;44005522
1028;44013091
1029;44015289
1030;44025654
1031;44033820
1032;44114185
1033;44119767
1034;44196856
1035;44241044
1036;44251759
1037;44272323
1038;44300058
1039;44343595
1040;44352569
1041;44369889
1042;44374115
1043;44376214
1044;44446644
1045;44446850
1046;44449830
1047;44458032
1048;44459333
1049;44485969
1050;44486352
1051;44511809
1052;44513285
1053;44603002
1054;44608345
1055;44608726
1056;44640326
1057;44649362
1058;44673419
1059;44678011
1060;44707815
1061;44733049
1062;44747482
1063;44762035
1064;44781874
1065;44870396
1066;44915986
1067;44957823
1068;44990291
1069;44995174
1070;44998622
1071;45047507
1072;45103691
1073;45120321
1074;45126076
1075;45146817
1076;45192130
1077;45222519
1078;45229864
1079;45272877
1080;45344495
1081;45362497
1082;45404902
1083;45425948
1084;45446475
1085;45452076
1086;45464771
1087;45473463
1088;45551103
1089;45552794
1090;45554280
1091;45579573
1092;45584608
1093;45603401
1094;45625066
1095;45660316
1096;45708385
1097;45730528
1098;45739466
1099;45759667
1100;45767040
1101;45829076
1102;45834521
1103;45841143
1104;45882385
1105;45906291
1106;45908423
1107;45956069
1108;45959172
1109;46011842
1110;46013158
1111;46018462
1112;46019128
1113;46097167
1114;46115794
1115;46124017
1116;46126109
1117;46163584
1118;46168259
1119;46201175
1120;46211438
1121;46223562
1122;46231100
1123;46246202
1124;46263287
1125;46280311
1126;46417451
1127;46425838
1128;46470818
1129;46477364
1130;46490764
1131;46512916
1132;46513912
1133;46532217
1134;46536061
1135;46538957
1136;46576649
1137;46620476
1138;46632357
1139;46658087
1140;46669852
1141;46686609
1142;46696832
1143;46730598
1144;46730860
1145;46734244
1146;46847946
1147;46909311
1148;46919862
1149;47002181
1150;47023251
1151;47029847
1152;47064959
1153;47081364
1154;47091859
1155;47093037
1156;47133992
1157;47141874
1158;47211220
1159;47266007
1160;47281168
1161;47324281
1162;47324850
1163;47341466
1164;47409163
1165;47417301
1166;47432723
1167;47434145
1168;47442269
1169;47449095
1170;47461491
1171;47469393
1172;47487416
1173;47489892
1174;47495939
1175;47516961
1176;47538209
1177;47572582
1178;47611276
1179;47632366
1180;47650247
1181;47659270
1182;47663383
1183;47688615
1184;47693393
1185;47721231
1186;47754867
1187;47768005
1188;47770342
1189;47773890
1190;47797841
1191;47823646
1192;47824155
1193;47838794
1194;47930967
1195;47948897
1196;47951299
1197;47960274
1198;47964813
1199;47966082
1200;47970270
1201;47977738
1202;47998763
1203;48068608
1204;48078936
1205;48131923
1206;48150648
1207;48164297
1208;48192295
1209;48238773
1210;48240756
1211;48256550
1212;48303399
1213;48329503
1214;48346555
1215;48389869
1216;48402424
1217;48427667
1218;48430833
1219;48440176
1220;48440874
1221;48510806
1222;48518123
1223;48518327
1224;48518838
1225;48526529
1226;48550931
